!team.contains(u),PREFIX_EXPRESSION, line no: 270,team.contains(u),METHOD_INVOCATION, line no: 255, 1.0, 1.0, 1.0
!team.contains(u),PREFIX_EXPRESSION, line no: 270,contains,SIMPLE_NAME, line no: 255, 1.0, 1.0, 1.0
team.contains(u),METHOD_INVOCATION, line no: 270,contains,SIMPLE_NAME, line no: 255, 1.0, 1.0, 1.0
contains,SIMPLE_NAME, line no: 270,false,BOOLEAN_LITERAL, line no: 186, 0.9473684210526315, 0.8421052631578947, 1.0
contains,SIMPLE_NAME, line no: 270,equals,SIMPLE_NAME, line no: 205, 0.9473684210526315, 0.05263157894736842, 1.0
contains,SIMPLE_NAME, line no: 270,anotherProject instanceof Project,INSTANCEOF_EXPRESSION, line no: 206, 0.9473684210526315, 0.9473684210526315, 1.0
contains,SIMPLE_NAME, line no: 270,((Project)anotherProject).idNum.equals(this.idNum),METHOD_INVOCATION, line no: 208, 0.9473684210526315, 0.9473684210526315, 1.0
contains,SIMPLE_NAME, line no: 270,this.name.equals(((Project)anotherProject).name),METHOD_INVOCATION, line no: 211, 0.9473684210526315, 0.9473684210526315, 1.0
contains,SIMPLE_NAME, line no: 270,this.idNum.equals(((Project)anotherProject).idNum),METHOD_INVOCATION, line no: 216, 0.9473684210526315, 0.9473684210526315, 1.0
contains,SIMPLE_NAME, line no: 270,team.contains(u),METHOD_INVOCATION, line no: 255, 0.9473684210526315, 0.9473684210526315, 1.0
team.contains(u),METHOD_INVOCATION, line no: 270,false,BOOLEAN_LITERAL, line no: 186, 0.9444444444444444, 0.8333333333333334, 1.0
team.contains(u),METHOD_INVOCATION, line no: 270,equals,SIMPLE_NAME, line no: 205, 0.9444444444444444, 0.05555555555555555, 1.0
team.contains(u),METHOD_INVOCATION, line no: 270,!team.contains(u),PREFIX_EXPRESSION, line no: 255, 0.9444444444444444, 0.9444444444444444, 1.0
!team.contains(u),PREFIX_EXPRESSION, line no: 270,false,BOOLEAN_LITERAL, line no: 186, 0.9411764705882353, 0.8235294117647058, 1.0
!team.contains(u),PREFIX_EXPRESSION, line no: 270,true,BOOLEAN_LITERAL, line no: 192, 0.9411764705882353, 0.35294117647058826, 1.0
!team.contains(u),PREFIX_EXPRESSION, line no: 270,equals,SIMPLE_NAME, line no: 205, 0.9411764705882353, 0.058823529411764705, 1.0
contains,SIMPLE_NAME, line no: 270,true,BOOLEAN_LITERAL, line no: 192, 0.8947368421052632, 0.3157894736842105, 1.0
contains,SIMPLE_NAME, line no: 270,this.name != null && !this.name.equals(((Project)anotherProject).name),INFIX_EXPRESSION, line no: 211, 0.8947368421052632, 0.8947368421052632, 1.0
contains,SIMPLE_NAME, line no: 270,this.name != null,INFIX_EXPRESSION, line no: 211, 0.8947368421052632, 0.8947368421052632, 1.0
contains,SIMPLE_NAME, line no: 270,!this.name.equals(((Project)anotherProject).name),PREFIX_EXPRESSION, line no: 211, 0.8947368421052632, 0.8947368421052632, 1.0
contains,SIMPLE_NAME, line no: 270,this.idNum != null && !this.idNum.equals(((Project)anotherProject).idNum),INFIX_EXPRESSION, line no: 216, 0.8947368421052632, 0.8947368421052632, 1.0
contains,SIMPLE_NAME, line no: 270,this.idNum != null,INFIX_EXPRESSION, line no: 216, 0.8947368421052632, 0.8947368421052632, 1.0
contains,SIMPLE_NAME, line no: 270,!this.idNum.equals(((Project)anotherProject).idNum),PREFIX_EXPRESSION, line no: 216, 0.8947368421052632, 0.8947368421052632, 1.0
contains,SIMPLE_NAME, line no: 270,!team.contains(u),PREFIX_EXPRESSION, line no: 255, 0.8947368421052632, 0.8947368421052632, 1.0
team.contains(u),METHOD_INVOCATION, line no: 270,true,BOOLEAN_LITERAL, line no: 192, 0.8888888888888888, 0.3333333333333333, 1.0
contains,SIMPLE_NAME, line no: 270,o instanceof Project,INSTANCEOF_EXPRESSION, line no: 188, 0.8421052631578947, 0.8421052631578947, 1.0
contains,SIMPLE_NAME, line no: 270,equalsIgnoreCase,SIMPLE_NAME, line no: 190, 0.8421052631578947, 0.7368421052631579, 1.0
contains,SIMPLE_NAME, line no: 270,o instanceof String,INSTANCEOF_EXPRESSION, line no: 196, 0.8421052631578947, 0.8421052631578947, 1.0
