getInvolvedNodes(),METHOD_INVOCATION, line no: 88,getInvolvedNodes,SIMPLE_NAME, line no: 88, 0.8888888888888888, 1.0, 1.0, 0.8888888888888888
isContinuous(),METHOD_INVOCATION, line no: 88,isContinuous,SIMPLE_NAME, line no: 65, 0.8571428571428571, 0.9090909090909091, 1.0, 0.8571428571428571
isContinuous,SIMPLE_NAME, line no: 88,isContinuous(),METHOD_INVOCATION, line no: 65, 0.8571428571428571, 0.9166666666666666, 1.0, 0.8571428571428571
getInvolvedNodes,SIMPLE_NAME, line no: 88,getInvolvedNodes(),METHOD_INVOCATION, line no: 88, 0.8148148148148148, 0.9166666666666666, 1.0, 0.8888888888888888
isContinuous,SIMPLE_NAME, line no: 88,!isContinuous(),PREFIX_EXPRESSION, line no: 65, 0.7333333333333334, 0.9166666666666666, 1.0, 0.8
isContinuous,SIMPLE_NAME, line no: 88,that.isContinuous(),METHOD_INVOCATION, line no: 83, 0.631578947368421, 1.0, 1.0, 0.631578947368421
isContinuous,SIMPLE_NAME, line no: 88,continuous,SIMPLE_NAME, line no: 58, 0.375, 0.08333333333333333, 1.0, 0.75
isContinuous,SIMPLE_NAME, line no: 88,isContinuous() == that.isContinuous(),INFIX_EXPRESSION, line no: 83, 0.32432432432432434, 1.0, 1.0, 0.32432432432432434
isContinuous(),METHOD_INVOCATION, line no: 88,continuous,SIMPLE_NAME, line no: 58, 0.2922077922077922, 0.09090909090909091, 1.0, 0.6428571428571429
isContinuous,SIMPLE_NAME, line no: 88,this == o,INFIX_EXPRESSION, line no: 75, 0.25, 1.0, 1.0, 0.25
isContinuous,SIMPLE_NAME, line no: 88,o == null,INFIX_EXPRESSION, line no: 78, 0.25, 1.0, 1.0, 0.25
isContinuous,SIMPLE_NAME, line no: 88,equals,SIMPLE_NAME, line no: 74, 0.16666666666666666, 0.08333333333333333, 1.0, 0.16666666666666666
isContinuous,SIMPLE_NAME, line no: 88,getClass() != o.getClass(),INFIX_EXPRESSION, line no: 78, 0.15384615384615385, 1.0, 1.0, 0.15384615384615385
isContinuous(),METHOD_INVOCATION, line no: 88,equals,SIMPLE_NAME, line no: 74, 0.14285714285714285, 0.09090909090909091, 1.0, 0.14285714285714285
isContinuous,SIMPLE_NAME, line no: 88,getInvolvedVMs().equals(that.getInvolvedVMs()) && isContinuous() == that.isContinuous(),INFIX_EXPRESSION, line no: 83, 0.13793103448275862, 1.0, 1.0, 0.13793103448275862
isContinuous,SIMPLE_NAME, line no: 88,o == null || getClass() != o.getClass(),INFIX_EXPRESSION, line no: 78, 0.1282051282051282, 1.0, 1.0, 0.1282051282051282
isContinuous,SIMPLE_NAME, line no: 88,getInvolvedVMs().equals(that.getInvolvedVMs()),METHOD_INVOCATION, line no: 83, 0.10869565217391304, 1.0, 1.0, 0.10869565217391304
Objects.hash(getInvolvedNodes() isContinuous()),METHOD_INVOCATION, line no: 88,hash,SIMPLE_NAME, line no: 88, 0.0851063829787234, 1.0, 1.0, 0.0851063829787234
hash,SIMPLE_NAME, line no: 88,Objects.hash(getInvolvedNodes() isContinuous()),METHOD_INVOCATION, line no: 88, 0.07736943907156672, 0.9090909090909091, 1.0, 0.0851063829787234
hash,SIMPLE_NAME, line no: 88,hashCode,SIMPLE_NAME, line no: 87, 0.045454545454545456, 0.09090909090909091, 1.0, 0.5
isContinuous,SIMPLE_NAME, line no: 88,true,BOOLEAN_LITERAL, line no: 49, 0.027777777777777776, 0.08333333333333333, 1.0, 0.16666666666666666
isContinuous(),METHOD_INVOCATION, line no: 88,true,BOOLEAN_LITERAL, line no: 49, 0.025974025974025972, 0.09090909090909091, 1.0, 0.14285714285714285
Objects.hash(getInvolvedNodes() isContinuous()),METHOD_INVOCATION, line no: 88,hashCode,SIMPLE_NAME, line no: 87, 0.014893617021276596, 0.1, 1.0, 0.14893617021276595
isContinuous,SIMPLE_NAME, line no: 88,false,BOOLEAN_LITERAL, line no: 79, 0.013888888888888888, 0.16666666666666666, 1.0, 0.08333333333333333
isContinuous(),METHOD_INVOCATION, line no: 88,false,BOOLEAN_LITERAL, line no: 79, 0.012987012987012986, 0.18181818181818182, 1.0, 0.07142857142857142
