rectangle(x1 lat1 x2 lon2),METHOD_INVOCATION, line no: 29,rectangle,SIMPLE_NAME, line no: 15, 2.0, 0.037037037037037035, 1.0
x1,SIMPLE_NAME, line no: 29,x2,SIMPLE_NAME, line no: 15, 2.0, 0.03571428571428571, 1.0
x1,SIMPLE_NAME, line no: 29,lat1,SIMPLE_NAME, line no: 23, 2.0, 0.03571428571428571, 1.0
x1,SIMPLE_NAME, line no: 29,lon2,SIMPLE_NAME, line no: 23, 2.0, 0.03571428571428571, 1.0
lat1,SIMPLE_NAME, line no: 29,x1,SIMPLE_NAME, line no: 15, 2.0, 0.03571428571428571, 1.0
lat1,SIMPLE_NAME, line no: 29,x2,SIMPLE_NAME, line no: 15, 2.0, 0.03571428571428571, 1.0
lat1,SIMPLE_NAME, line no: 29,lon2,SIMPLE_NAME, line no: 23, 2.0, 0.03571428571428571, 1.0
x2,SIMPLE_NAME, line no: 29,x1,SIMPLE_NAME, line no: 15, 2.0, 0.03571428571428571, 1.0
x2,SIMPLE_NAME, line no: 29,lat1,SIMPLE_NAME, line no: 23, 2.0, 0.03571428571428571, 1.0
x2,SIMPLE_NAME, line no: 29,lon2,SIMPLE_NAME, line no: 23, 2.0, 0.03571428571428571, 1.0
lon2,SIMPLE_NAME, line no: 29,x1,SIMPLE_NAME, line no: 15, 2.0, 0.03571428571428571, 1.0
lon2,SIMPLE_NAME, line no: 29,x2,SIMPLE_NAME, line no: 15, 2.0, 0.03571428571428571, 1.0
lon2,SIMPLE_NAME, line no: 29,lat1,SIMPLE_NAME, line no: 23, 2.0, 0.03571428571428571, 1.0
rectangle,SIMPLE_NAME, line no: 29,rectangle(x1 lat1 x2 lon2),METHOD_INVOCATION, line no: 29, 1.9642857142857144, 0.9642857142857143, 1.0
x1,SIMPLE_NAME, line no: 29,x,SIMPLE_NAME, line no: 11, 1.9642857142857144, 0.03571428571428571, 1.0
x1,SIMPLE_NAME, line no: 29,lon1,SIMPLE_NAME, line no: 23, 1.9642857142857144, 0.03571428571428571, 1.0
