getResponses,SIMPLE_NAME, line no: 120,responses,SIMPLE_NAME, line no: 32, 2.0, 0.7169811320754716, 1.0
channel,SIMPLE_NAME, line no: 120,event.getMessage(),METHOD_INVOCATION, line no: 35, 2.0, 0.5094339622641509, 1.0
channel,SIMPLE_NAME, line no: 120,getMessage,SIMPLE_NAME, line no: 35, 2.0, 0.5283018867924528, 1.0
channel,SIMPLE_NAME, line no: 120,event.getSender(),METHOD_INVOCATION, line no: 35, 2.0, 0.5094339622641509, 1.0
channel,SIMPLE_NAME, line no: 120,getSender,SIMPLE_NAME, line no: 35, 2.0, 0.5283018867924528, 1.0
channel,SIMPLE_NAME, line no: 120,event.getChannel(),METHOD_INVOCATION, line no: 35, 2.0, 0.5094339622641509, 1.0
channel,SIMPLE_NAME, line no: 120,getChannel,SIMPLE_NAME, line no: 35, 2.0, 0.5283018867924528, 1.0
channel,SIMPLE_NAME, line no: 120,sender,SIMPLE_NAME, line no: 41, 2.0, 0.018867924528301886, 1.0
channel,SIMPLE_NAME, line no: 120,message,SIMPLE_NAME, line no: 43, 2.0, 0.9433962264150944, 1.0
channel,SIMPLE_NAME, line no: 120,nick,SIMPLE_NAME, line no: 97, 2.0, 1.0, 1.0
channel,SIMPLE_NAME, line no: 120,tellSubject.getTarget(),METHOD_INVOCATION, line no: 97, 2.0, 1.0, 1.0
channel,SIMPLE_NAME, line no: 120,getTarget,SIMPLE_NAME, line no: 97, 2.0, 1.0, 1.0
channel,SIMPLE_NAME, line no: 120,thing,SIMPLE_NAME, line no: 101, 2.0, 1.0, 1.0
channel,SIMPLE_NAME, line no: 120,tellSubject.getSubject(),METHOD_INVOCATION, line no: 101, 2.0, 1.0, 1.0
channel,SIMPLE_NAME, line no: 120,getSubject,SIMPLE_NAME, line no: 101, 2.0, 1.0, 1.0
channel,SIMPLE_NAME, line no: 120,getLogin,SIMPLE_NAME, line no: 120, 2.0, 1.0, 1.0
channel,SIMPLE_NAME, line no: 120,getHostname,SIMPLE_NAME, line no: 120, 2.0, 1.0, 1.0
sender,SIMPLE_NAME, line no: 120,event.getMessage(),METHOD_INVOCATION, line no: 35, 2.0, 0.5094339622641509, 1.0
sender,SIMPLE_NAME, line no: 120,getMessage,SIMPLE_NAME, line no: 35, 2.0, 0.5283018867924528, 1.0
sender,SIMPLE_NAME, line no: 120,event.getSender(),METHOD_INVOCATION, line no: 35, 2.0, 0.5094339622641509, 1.0
sender,SIMPLE_NAME, line no: 120,getSender,SIMPLE_NAME, line no: 35, 2.0, 0.5283018867924528, 1.0
sender,SIMPLE_NAME, line no: 120,event.getChannel(),METHOD_INVOCATION, line no: 35, 2.0, 0.5094339622641509, 1.0
sender,SIMPLE_NAME, line no: 120,getChannel,SIMPLE_NAME, line no: 35, 2.0, 0.5283018867924528, 1.0
sender,SIMPLE_NAME, line no: 120,channel,SIMPLE_NAME, line no: 41, 2.0, 0.018867924528301886, 1.0
sender,SIMPLE_NAME, line no: 120,message,SIMPLE_NAME, line no: 43, 2.0, 0.9433962264150944, 1.0
sender,SIMPLE_NAME, line no: 120,nick,SIMPLE_NAME, line no: 97, 2.0, 1.0, 1.0
sender,SIMPLE_NAME, line no: 120,tellSubject.getTarget(),METHOD_INVOCATION, line no: 97, 2.0, 1.0, 1.0
sender,SIMPLE_NAME, line no: 120,getTarget,SIMPLE_NAME, line no: 97, 2.0, 1.0, 1.0
sender,SIMPLE_NAME, line no: 120,thing,SIMPLE_NAME, line no: 101, 2.0, 1.0, 1.0
sender,SIMPLE_NAME, line no: 120,tellSubject.getSubject(),METHOD_INVOCATION, line no: 101, 2.0, 1.0, 1.0
sender,SIMPLE_NAME, line no: 120,getSubject,SIMPLE_NAME, line no: 101, 2.0, 1.0, 1.0
sender,SIMPLE_NAME, line no: 120,getLogin,SIMPLE_NAME, line no: 120, 2.0, 1.0, 1.0
sender,SIMPLE_NAME, line no: 120,getHostname,SIMPLE_NAME, line no: 120, 2.0, 1.0, 1.0
event.getLogin(),METHOD_INVOCATION, line no: 120,getMessage,SIMPLE_NAME, line no: 35, 2.0, 0.5283018867924528, 1.0
event.getLogin(),METHOD_INVOCATION, line no: 120,getSender,SIMPLE_NAME, line no: 35, 2.0, 0.5283018867924528, 1.0
event.getLogin(),METHOD_INVOCATION, line no: 120,getChannel,SIMPLE_NAME, line no: 35, 2.0, 0.5283018867924528, 1.0
event.getLogin(),METHOD_INVOCATION, line no: 120,sender,SIMPLE_NAME, line no: 41, 2.0, 0.018867924528301886, 1.0
event.getLogin(),METHOD_INVOCATION, line no: 120,channel,SIMPLE_NAME, line no: 41, 2.0, 0.018867924528301886, 1.0
event.getLogin(),METHOD_INVOCATION, line no: 120,message,SIMPLE_NAME, line no: 43, 2.0, 0.9433962264150944, 1.0
event.getLogin(),METHOD_INVOCATION, line no: 120,nick,SIMPLE_NAME, line no: 97, 2.0, 1.0, 1.0
event.getLogin(),METHOD_INVOCATION, line no: 120,getTarget,SIMPLE_NAME, line no: 97, 2.0, 1.0, 1.0
event.getLogin(),METHOD_INVOCATION, line no: 120,thing,SIMPLE_NAME, line no: 101, 2.0, 1.0, 1.0
event.getLogin(),METHOD_INVOCATION, line no: 120,getSubject,SIMPLE_NAME, line no: 101, 2.0, 1.0, 1.0
event.getLogin(),METHOD_INVOCATION, line no: 120,getLogin,SIMPLE_NAME, line no: 120, 2.0, 1.0, 1.0
event.getLogin(),METHOD_INVOCATION, line no: 120,getHostname,SIMPLE_NAME, line no: 120, 2.0, 1.0, 1.0
getLogin,SIMPLE_NAME, line no: 120,event.getMessage(),METHOD_INVOCATION, line no: 35, 2.0, 0.5, 1.0
getLogin,SIMPLE_NAME, line no: 120,getMessage,SIMPLE_NAME, line no: 35, 2.0, 0.5185185185185185, 1.0
getLogin,SIMPLE_NAME, line no: 120,event.getSender(),METHOD_INVOCATION, line no: 35, 2.0, 0.5, 1.0
getLogin,SIMPLE_NAME, line no: 120,getSender,SIMPLE_NAME, line no: 35, 2.0, 0.5185185185185185, 1.0
