theMap.put(o dummy) == dummy,INFIX_EXPRESSION, line no: 81,theMap.put(o dummy),METHOD_INVOCATION, line no: 81, 1.0, 1.0, 1.0, 0.7752808988764045
theMap.put(o dummy),METHOD_INVOCATION, line no: 81,dummy,SIMPLE_NAME, line no: 45, 1.0, 0.09090909090909091, 1.0, 0.6296296296296297
theMap.put(o dummy),METHOD_INVOCATION, line no: 81,put,SIMPLE_NAME, line no: 81, 1.0, 1.0, 1.0, 0.654320987654321
theMap.put(o dummy),METHOD_INVOCATION, line no: 81,o,SIMPLE_NAME, line no: 84, 1.0, 0.09090909090909091, 1.0, 0.6049382716049383
theMap.put(o dummy),METHOD_INVOCATION, line no: 81,remove,SIMPLE_NAME, line no: 96, 1.0, 1.0, 1.0, 0.5925925925925926
put,SIMPLE_NAME, line no: 81,dummy,SIMPLE_NAME, line no: 45, 1.0, 0.08333333333333333, 1.0, 0.8688524590163934
dummy,SIMPLE_NAME, line no: 81,put,SIMPLE_NAME, line no: 81, 1.0, 1.0, 1.0, 0.9344262295081968
dummy,SIMPLE_NAME, line no: 81,put,SIMPLE_NAME, line no: 81, 1.0, 1.0, 1.0, 0.9344262295081968
dummy,SIMPLE_NAME, line no: 81,obj,SIMPLE_NAME, line no: 101, 1.0, 0.8181818181818182, 1.0, 0.8852459016393442
put,SIMPLE_NAME, line no: 81,theMap.put(o dummy),METHOD_INVOCATION, line no: 81, 0.9166666666666666, 0.9166666666666666, 1.0, 0.654320987654321
put,SIMPLE_NAME, line no: 81,o,SIMPLE_NAME, line no: 84, 0.9166666666666666, 0.08333333333333333, 1.0, 0.9152542372881356
put,SIMPLE_NAME, line no: 81,remove,SIMPLE_NAME, line no: 96, 0.9166666666666666, 0.9166666666666666, 1.0, 0.8387096774193549
put,SIMPLE_NAME, line no: 81,obj,SIMPLE_NAME, line no: 101, 0.9166666666666666, 0.75, 1.0, 0.8852459016393442
dummy,SIMPLE_NAME, line no: 81,theMap.put(o dummy),METHOD_INVOCATION, line no: 81, 0.9166666666666666, 0.9166666666666666, 1.0, 0.6790123456790124
dummy,SIMPLE_NAME, line no: 81,o,SIMPLE_NAME, line no: 84, 0.9166666666666666, 0.08333333333333333, 1.0, 0.8852459016393442
dummy,SIMPLE_NAME, line no: 81,remove,SIMPLE_NAME, line no: 96, 0.9166666666666666, 0.9166666666666666, 1.0, 0.8548387096774194
dummy,SIMPLE_NAME, line no: 81,obj,SIMPLE_NAME, line no: 101, 0.9166666666666666, 0.75, 1.0, 0.8852459016393442
theMap.put(o dummy),METHOD_INVOCATION, line no: 81,theMap.put(o dummy) == dummy,INFIX_EXPRESSION, line no: 81, 0.9090909090909091, 0.9090909090909091, 1.0, 0.7752808988764045
theMap.put(o dummy),METHOD_INVOCATION, line no: 81,obj,SIMPLE_NAME, line no: 101, 0.9090909090909091, 0.7272727272727273, 1.0, 0.6049382716049383
