vertexToVertexData,SIMPLE_NAME, line no: 276,vertexToVertexData=null,ASSIGNMENT, line no: 98, 2.5166666666666666, 0.2777777777777778, 1.0, 0.0, 0.6
graph,SIMPLE_NAME, line no: 276,inverseGraph,SIMPLE_NAME, line no: 158, 2.4210526315789473, 0.9210526315789473, 1.0, 0.0, 0.5
graph,SIMPLE_NAME, line no: 276,DirectedGraph,SIMPLE_NAME, line no: 68, 2.3947368421052633, 0.02631578947368421, 1.0, 0.0, 0.5
vertexToVertexData.get(this.graph.getEdgeTarget(edge)),METHOD_INVOCATION, line no: 276,this.graph.getEdgeTarget(edge),METHOD_INVOCATION, line no: 276, 2.3939393939393936, 1.0, 0.6666666666666666, 0.0, 0.7272727272727273
this.graph.getEdgeTarget(edge),METHOD_INVOCATION, line no: 276,getEdgeTarget,SIMPLE_NAME, line no: 276, 2.375, 1.0, 1.0, 0.0, 0.375
this.graph.getEdgeTarget(edge),METHOD_INVOCATION, line no: 276,vertexToVertexData.get(this.graph.getEdgeTarget(edge)),METHOD_INVOCATION, line no: 276, 2.366161616161616, 0.9722222222222222, 0.6666666666666666, 0.0, 0.7272727272727273
getEdgeTarget,SIMPLE_NAME, line no: 276,this.graph.getEdgeTarget(edge),METHOD_INVOCATION, line no: 276, 2.347972972972973, 0.972972972972973, 1.0, 0.0, 0.375
this.graph,FIELD_ACCESS, line no: 276,graph,SIMPLE_NAME, line no: 44, 2.3333333333333335, 0.05405405405405406, 0.0, 0.0, 0.3333333333333333
graph,SIMPLE_NAME, line no: 276,this.graph,FIELD_ACCESS, line no: 276, 2.3070175438596494, 0.9736842105263158, 1.0, 0.0, 0.3333333333333333
vertexToVertexData.get(this.graph.getEdgeTarget(edge)),METHOD_INVOCATION, line no: 276,VertexData,SIMPLE_NAME, line no: 71, 2.1818181818181817, 0.02857142857142857, 1.0, 0.0, 0.18181818181818182
this.graph,FIELD_ACCESS, line no: 276,inverseGraph,SIMPLE_NAME, line no: 158, 2.168918918918919, 0.918918918918919, 1.0, 0.0, 0.25
this.graph,FIELD_ACCESS, line no: 276,graph.getEdgeFactory(),METHOD_INVOCATION, line no: 159, 2.168918918918919, 0.918918918918919, 1.0, 0.0, 0.25
vertexToVertexData.get(this.graph.getEdgeTarget(edge)),METHOD_INVOCATION, line no: 276,vertexData,SIMPLE_NAME, line no: 251, 2.153246753246753, 0.02857142857142857, 1.0, 0.0, 0.18181818181818182
vertexToVertexData.get(this.graph.getEdgeTarget(edge)),METHOD_INVOCATION, line no: 276,targetData,SIMPLE_NAME, line no: 275, 2.153246753246753, 0.9714285714285714, 1.0, 0.0, 0.18181818181818182
this.graph,FIELD_ACCESS, line no: 276,DirectedGraph,SIMPLE_NAME, line no: 68, 2.141891891891892, 0.02702702702702703, 1.0, 0.0, 0.25
this.graph.getEdgeTarget(edge),METHOD_INVOCATION, line no: 276,graph.getEdgeFactory(),METHOD_INVOCATION, line no: 159, 2.111111111111111, 0.9444444444444444, 0.5, 0.0, 0.6666666666666666
vertexToVertexData.get(this.graph.getEdgeTarget(edge)),METHOD_INVOCATION, line no: 276,data,SIMPLE_NAME, line no: 150, 2.090909090909091, 0.6285714285714286, 1.0, 0.0, 0.09090909090909091
vertexToVertexData.get(this.graph.getEdgeTarget(edge)),METHOD_INVOCATION, line no: 276,get,SIMPLE_NAME, line no: 276, 2.090909090909091, 1.0, 1.0, 0.0, 0.09090909090909091
this.graph,FIELD_ACCESS, line no: 276,graph.vertexSet(),METHOD_INVOCATION, line no: 231, 2.0694980694980694, 0.7297297297297297, 1.0, 0.0, 0.2857142857142857
get,SIMPLE_NAME, line no: 276,vertexToVertexData.get(this.graph.getEdgeTarget(edge)),METHOD_INVOCATION, line no: 276, 2.063131313131313, 0.9722222222222222, 1.0, 0.0, 0.09090909090909091
this.graph,FIELD_ACCESS, line no: 276,new DefaultDirectedGraph<V E>(graph.getEdgeFactory()),CLASS_INSTANCE_CREATION, line no: 159, 2.043918918918919, 0.918918918918919, 1.0, 0.0, 0.125
this.graph,FIELD_ACCESS, line no: 276,graph.vertexSet().iterator(),METHOD_INVOCATION, line no: 233, 2.0337837837837838, 0.7837837837837838, 1.0, 0.0, 0.25
vertexToVertexData.get(this.graph.getEdgeTarget(edge)),METHOD_INVOCATION, line no: 276,pop,SIMPLE_NAME, line no: 258, 2.0, 1.0, 1.0, 0.0, 0.0
get,SIMPLE_NAME, line no: 276,VertexData,SIMPLE_NAME, line no: 71, 2.0, 0.027777777777777776, 1.0, 0.0, 0.0
get,SIMPLE_NAME, line no: 276,data,SIMPLE_NAME, line no: 150, 2.0, 0.6111111111111112, 1.0, 0.0, 0.0
get,SIMPLE_NAME, line no: 276,stack.pop(),METHOD_INVOCATION, line no: 258, 2.0, 1.0, 1.0, 0.0, 0.0
get,SIMPLE_NAME, line no: 276,pop,SIMPLE_NAME, line no: 258, 2.0, 1.0, 1.0, 0.0, 0.0
this.graph.getEdgeTarget(edge),METHOD_INVOCATION, line no: 276,V,SIMPLE_NAME, line no: 62, 2.0, 0.027777777777777776, 1.0, 0.0, 0.0
this.graph.getEdgeTarget(edge),METHOD_INVOCATION, line no: 276,vertex,SIMPLE_NAME, line no: 236, 2.0, 0.5, 1.0, 0.0, 0.0
getEdgeTarget,SIMPLE_NAME, line no: 276,V,SIMPLE_NAME, line no: 62, 2.0, 0.02702702702702703, 1.0, 0.0, 0.0
getEdgeTarget,SIMPLE_NAME, line no: 276,vertex,SIMPLE_NAME, line no: 236, 2.0, 0.4864864864864865, 1.0, 0.0, 0.0
getEdgeTarget,SIMPLE_NAME, line no: 276,data.vertex,QUALIFIED_NAME, line no: 264, 2.0, 0.2972972972972973, 1.0, 0.0, 0.0
this.graph,FIELD_ACCESS, line no: 276,graph.vertexSet().size(),METHOD_INVOCATION, line no: 231, 1.9797297297297298, 0.7297297297297297, 1.0, 0.0, 0.25
edge,SIMPLE_NAME, line no: 276,E,SIMPLE_NAME, line no: 62, 1.972972972972973, 0.02702702702702703, 1.0, 0.0, 0.0
get,SIMPLE_NAME, line no: 276,vertexData,SIMPLE_NAME, line no: 251, 1.9722222222222223, 0.027777777777777776, 1.0, 0.0, 0.0
get,SIMPLE_NAME, line no: 276,stack.push(vertexData),METHOD_INVOCATION, line no: 255, 1.9722222222222223, 0.9722222222222222, 1.0, 0.0, 0.0
