edge,SIMPLE_NAME, line no: 128,E,SIMPLE_NAME, line no: 62, 1.0, 0.006944444444444444, 1.0
E,SIMPLE_NAME, line no: 128,edge,SIMPLE_NAME, line no: 109, 0.993103448275862, 0.2413793103448276, 1.0
outEdges,SIMPLE_NAME, line no: 128,Set,SIMPLE_NAME, line no: 107, 0.993006993006993, 0.993006993006993, 1.0
outEdges,SIMPLE_NAME, line no: 128,outgoingEdgesOf,SIMPLE_NAME, line no: 107, 0.993006993006993, 0.993006993006993, 1.0
outEdges,SIMPLE_NAME, line no: 128,inEdges,SIMPLE_NAME, line no: 120, 0.993006993006993, 0.993006993006993, 1.0
outEdges,SIMPLE_NAME, line no: 128,incomingEdgesOf,SIMPLE_NAME, line no: 120, 0.993006993006993, 0.993006993006993, 1.0
outEdges,SIMPLE_NAME, line no: 128,graph.outgoingEdgesOf(vertex),METHOD_INVOCATION, line no: 107, 0.986013986013986, 0.986013986013986, 1.0
outEdges,SIMPLE_NAME, line no: 128,graph.incomingEdgesOf(vertex),METHOD_INVOCATION, line no: 120, 0.986013986013986, 0.986013986013986, 1.0
outEdges,SIMPLE_NAME, line no: 128,cutEdges,SIMPLE_NAME, line no: 171, 0.2937062937062937, 0.2937062937062937, 1.0
outEdges,SIMPLE_NAME, line no: 128,unmodifiableSet,SIMPLE_NAME, line no: 178, 0.2937062937062937, 0.2937062937062937, 1.0
outEdges,SIMPLE_NAME, line no: 128,Collections.unmodifiableSet(cutEdges),METHOD_INVOCATION, line no: 178, 0.2867132867132867, 0.2867132867132867, 1.0
edge,SIMPLE_NAME, line no: 128,next,SIMPLE_NAME, line no: 109, 0.25, 0.25, 1.0
E,SIMPLE_NAME, line no: 128,next,SIMPLE_NAME, line no: 109, 0.2482758620689655, 0.2482758620689655, 1.0
edge,SIMPLE_NAME, line no: 128,it.next(),METHOD_INVOCATION, line no: 109, 0.24305555555555555, 0.24305555555555555, 1.0
E,SIMPLE_NAME, line no: 128,it.next(),METHOD_INVOCATION, line no: 109, 0.2413793103448276, 0.2413793103448276, 1.0
outEdges,SIMPLE_NAME, line no: 128,getCutEdges,SIMPLE_NAME, line no: 168, 0.006993006993006993, 0.006993006993006993, 1.0
