this.memoryContents,FIELD_ACCESS, line no: 106,memoryContents,SIMPLE_NAME, line no: 23, 2.736842105263158, 0.03571428571428571, 1.0, 0.7368421052631579, 0.0
memoryContents,SIMPLE_NAME, line no: 106,this.memoryContents,FIELD_ACCESS, line no: 45, 2.719298245614035, 0.38596491228070173, 1.0, 0.7368421052631579, 0.0
Long.MAX_VALUE,QUALIFIED_NAME, line no: 106,MAX_VALUE,SIMPLE_NAME, line no: 100, 2.642857142857143, 0.9473684210526315, 1.0, 0.6428571428571429, 0.0
MAX_VALUE,SIMPLE_NAME, line no: 106,Long.MAX_VALUE,QUALIFIED_NAME, line no: 100, 2.625615763546798, 0.9310344827586207, 1.0, 0.6428571428571429, 0.0
this.position,FIELD_ACCESS, line no: 106,position,SIMPLE_NAME, line no: 21, 2.6153846153846154, 0.03571428571428571, 1.0, 0.6153846153846154, 0.0
offset + 1,INFIX_EXPRESSION, line no: 106,offset,SIMPLE_NAME, line no: 93, 2.6, 0.017543859649122806, 1.0, 0.6, 0.0
position,SIMPLE_NAME, line no: 106,this.position,FIELD_ACCESS, line no: 84, 2.5978407557354926, 0.5087719298245614, 1.0, 0.6153846153846154, 0.0
offset,SIMPLE_NAME, line no: 106,offset + 1,INFIX_EXPRESSION, line no: 106, 2.5827586206896553, 0.9827586206896551, 1.0, 0.6, 0.0
Long.MAX_VALUE - totalRead,INFIX_EXPRESSION, line no: 106,totalRead == Long.MAX_VALUE,INFIX_EXPRESSION, line no: 100, 2.4649470899470898, 0.9464285714285714, 1.0, 0.5185185185185185, 0.0
1,NUMBER_LITERAL, line no: 106,-1,PREFIX_EXPRESSION, line no: 85, 2.413793103448276, 0.4827586206896552, 1.0, 0.5, 0.0
Long.MAX_VALUE - totalRead,INFIX_EXPRESSION, line no: 106,totalRead,SIMPLE_NAME, line no: 98, 2.3461538461538463, 0.9821428571428571, 1.0, 0.34615384615384615, 0.0
Long.MAX_VALUE - totalRead,INFIX_EXPRESSION, line no: 106,MAX_VALUE,SIMPLE_NAME, line no: 100, 2.3461538461538463, 0.9464285714285714, 1.0, 0.34615384615384615, 0.0
read,SIMPLE_NAME, line no: 106,totalRead,SIMPLE_NAME, line no: 98, 2.3333333333333335, 1.0, 1.0, 0.3333333333333333, 0.0
read,SIMPLE_NAME, line no: 106,totalRead,SIMPLE_NAME, line no: 98, 2.3333333333333335, 0.9821428571428571, 1.0, 0.3333333333333333, 0.0
totalRead,SIMPLE_NAME, line no: 106,Long.MAX_VALUE - totalRead,INFIX_EXPRESSION, line no: 106, 2.3286099865047234, 0.9824561403508771, 1.0, 0.34615384615384615, 0.0
totalRead,SIMPLE_NAME, line no: 106,read,SIMPLE_NAME, line no: 82, 2.3157894736842106, 0.017543859649122806, 0.0, 0.3333333333333333, 0.0
MAX_VALUE,SIMPLE_NAME, line no: 106,Long.MAX_VALUE - totalRead,INFIX_EXPRESSION, line no: 106, 2.3116710875331568, 0.9655172413793104, 1.0, 0.34615384615384615, 0.0
offset,SIMPLE_NAME, line no: 106,length,SIMPLE_NAME, line no: 93, 2.298850574712644, 0.017241379310344827, 1.0, 0.3333333333333333, 0.0
offset + 1,INFIX_EXPRESSION, line no: 106,offset < 0,INFIX_EXPRESSION, line no: 135, 2.2912280701754386, 0.49122807017543857, 1.0, 0.8, 0.0
this.position,FIELD_ACCESS, line no: 106,totalRead,SIMPLE_NAME, line no: 98, 2.212912087912088, 0.9642857142857143, 1.0, 0.23076923076923078, 0.0
position,SIMPLE_NAME, line no: 106,totalRead,SIMPLE_NAME, line no: 98, 2.2046783625730995, 0.9649122807017544, 1.0, 0.2222222222222222, 0.0
