countCache1.length > 0,INFIX_EXPRESSION, line no: 49,countCache1.length,QUALIFIED_NAME, line no: 49, 2.6666666666666665, 1.0, 1.0, 0.0, 0.6666666666666666
countCache1.length,QUALIFIED_NAME, line no: 49,countCache1.length > 0,INFIX_EXPRESSION, line no: 49, 2.6564625850340136, 0.9897959183673469, 1.0, 0.0, 0.6666666666666666
countCache1,SIMPLE_NAME, line no: 49,this.countCache1,FIELD_ACCESS, line no: 42, 2.4595959595959593, 0.9595959595959596, 1.0, 0.0, 0.5
length,SIMPLE_NAME, line no: 49,vector.length,QUALIFIED_NAME, line no: 36, 2.303030303030303, 0.23232323232323232, 1.0, 0.0, 0.3333333333333333
countCache1.length,QUALIFIED_NAME, line no: 49,length,SIMPLE_NAME, line no: 36, 2.25, 0.24489795918367346, 1.0, 0.0, 0.25
length,SIMPLE_NAME, line no: 49,countCache1.length,QUALIFIED_NAME, line no: 49, 2.23989898989899, 0.98989898989899, 1.0, 0.0, 0.25
countCache1.length,QUALIFIED_NAME, line no: 49,containerCount,SIMPLE_NAME, line no: 35, 2.169387755102041, 0.23469387755102042, 1.0, 0.0, 0.2
0,NUMBER_LITERAL, line no: 49,bytes[0] & 0xff,INFIX_EXPRESSION, line no: 43, 2.1462585034013606, 0.9795918367346939, 1.0, 0.0, 0.16666666666666666
countCache1,SIMPLE_NAME, line no: 49,this.countCache1=new int[containerCount(vector.length 8)],ASSIGNMENT, line no: 42, 2.0845959595959593, 0.9595959595959596, 1.0, 0.0, 0.125
length,SIMPLE_NAME, line no: 49,containerCount(vector.length 8),METHOD_INVOCATION, line no: 42, 2.0707070707070705, 0.9595959595959596, 1.0, 0.0, 0.1111111111111111
countCache1.length,QUALIFIED_NAME, line no: 49,this.countCache1,FIELD_ACCESS, line no: 42, 2.0693877551020408, 0.9693877551020408, 0.5, 0.0, 0.6
countCache1,SIMPLE_NAME, line no: 49,new int[containerCount(vector.length 8)],ARRAY_CREATION, line no: 42, 2.031024531024531, 0.9595959595959596, 1.0, 0.0, 0.07142857142857142
countCache1.length,QUALIFIED_NAME, line no: 49,0,NUMBER_LITERAL, line no: 43, 1.989795918367347, 0.9795918367346939, 1.0, 0.0, 0.0
0,NUMBER_LITERAL, line no: 49,length,SIMPLE_NAME, line no: 36, 1.989795918367347, 0.24489795918367346, 1.0, 0.0, 0.0
0,NUMBER_LITERAL, line no: 49,0xff,NUMBER_LITERAL, line no: 43, 1.989795918367347, 0.9897959183673469, 1.0, 0.0, 0.0
0,NUMBER_LITERAL, line no: 49,countCache1.length,QUALIFIED_NAME, line no: 49, 1.989795918367347, 0.9897959183673469, 1.0, 0.0, 0.0
length,SIMPLE_NAME, line no: 49,0,NUMBER_LITERAL, line no: 43, 1.9797979797979797, 0.9696969696969697, 1.0, 0.0, 0.0
length,SIMPLE_NAME, line no: 49,n,SIMPLE_NAME, line no: 44, 1.9797979797979797, 0.9696969696969697, 1.0, 0.0, 0.0
length,SIMPLE_NAME, line no: 49,i,SIMPLE_NAME, line no: 45, 1.9797979797979797, 0.9696969696969697, 1.0, 0.0, 0.0
countCache1.length,QUALIFIED_NAME, line no: 49,0xff,NUMBER_LITERAL, line no: 43, 1.9795918367346939, 0.9795918367346939, 1.0, 0.0, 0.0
countCache1.length,QUALIFIED_NAME, line no: 49,n,SIMPLE_NAME, line no: 44, 1.9795918367346939, 0.9693877551020408, 1.0, 0.0, 0.0
countCache1.length,QUALIFIED_NAME, line no: 49,i,SIMPLE_NAME, line no: 45, 1.9795918367346939, 0.9693877551020408, 1.0, 0.0, 0.0
0,NUMBER_LITERAL, line no: 49,8,NUMBER_LITERAL, line no: 35, 1.9795918367346939, 0.23469387755102042, 1.0, 0.0, 0.0
0,NUMBER_LITERAL, line no: 49,n,SIMPLE_NAME, line no: 44, 1.9795918367346939, 0.9693877551020408, 1.0, 0.0, 0.0
0,NUMBER_LITERAL, line no: 49,i,SIMPLE_NAME, line no: 45, 1.9795918367346939, 0.9693877551020408, 1.0, 0.0, 0.0
0,NUMBER_LITERAL, line no: 49,1,NUMBER_LITERAL, line no: 45, 1.9795918367346939, 0.9795918367346939, 1.0, 0.0, 0.0
length,SIMPLE_NAME, line no: 49,containerCount,SIMPLE_NAME, line no: 35, 1.9696969696969697, 0.23232323232323232, 1.0, 0.0, 0.0
length,SIMPLE_NAME, line no: 49,bits,SIMPLE_NAME, line no: 39, 1.9696969696969697, 0.010101010101010102, 1.0, 0.0, 0.0
length,SIMPLE_NAME, line no: 49,size,SIMPLE_NAME, line no: 40, 1.9696969696969697, 0.9696969696969697, 1.0, 0.0, 0.0
length,SIMPLE_NAME, line no: 49,sum,SIMPLE_NAME, line no: 43, 1.9696969696969697, 0.9696969696969697, 1.0, 0.0, 0.0
length,SIMPLE_NAME, line no: 49,bytes[0] & 0xff,INFIX_EXPRESSION, line no: 43, 1.9696969696969697, 0.9696969696969697, 1.0, 0.0, 0.0
length,SIMPLE_NAME, line no: 49,0xff,NUMBER_LITERAL, line no: 43, 1.9696969696969697, 0.9696969696969697, 1.0, 0.0, 0.0
countCache1.length,QUALIFIED_NAME, line no: 49,8,NUMBER_LITERAL, line no: 35, 1.9693877551020407, 0.23469387755102042, 1.0, 0.0, 0.0
countCache1.length,QUALIFIED_NAME, line no: 49,bits,SIMPLE_NAME, line no: 39, 1.9693877551020407, 0.01020408163265306, 1.0, 0.0, 0.0
countCache1.length,QUALIFIED_NAME, line no: 49,size,SIMPLE_NAME, line no: 40, 1.9693877551020407, 0.9693877551020408, 1.0, 0.0, 0.0
countCache1.length,QUALIFIED_NAME, line no: 49,sum,SIMPLE_NAME, line no: 43, 1.9693877551020407, 0.9693877551020408, 1.0, 0.0, 0.0
countCache1.length,QUALIFIED_NAME, line no: 49,1,NUMBER_LITERAL, line no: 45, 1.9693877551020407, 0.9693877551020408, 1.0, 0.0, 0.0
0,NUMBER_LITERAL, line no: 49,containerCount,SIMPLE_NAME, line no: 35, 1.9693877551020407, 0.23469387755102042, 1.0, 0.0, 0.0
0,NUMBER_LITERAL, line no: 49,vector.length,QUALIFIED_NAME, line no: 36, 1.9693877551020407, 0.23469387755102042, 1.0, 0.0, 0.0
0,NUMBER_LITERAL, line no: 49,bits,SIMPLE_NAME, line no: 39, 1.9693877551020407, 0.01020408163265306, 1.0, 0.0, 0.0
0,NUMBER_LITERAL, line no: 49,this.size=bits,ASSIGNMENT, line no: 40, 1.9693877551020407, 0.9693877551020408, 1.0, 0.0, 0.0
0,NUMBER_LITERAL, line no: 49,this.size,FIELD_ACCESS, line no: 40, 1.9693877551020407, 0.9693877551020408, 1.0, 0.0, 0.0
0,NUMBER_LITERAL, line no: 49,size,SIMPLE_NAME, line no: 40, 1.9693877551020407, 0.9693877551020408, 1.0, 0.0, 0.0
0,NUMBER_LITERAL, line no: 49,containerCount(bits 8),METHOD_INVOCATION, line no: 41, 1.9693877551020407, 0.9693877551020408, 1.0, 0.0, 0.0
0,NUMBER_LITERAL, line no: 49,containerCount(vector.length 8),METHOD_INVOCATION, line no: 42, 1.9693877551020407, 0.9693877551020408, 1.0, 0.0, 0.0
0,NUMBER_LITERAL, line no: 49,sum,SIMPLE_NAME, line no: 43, 1.9693877551020407, 0.9693877551020408, 1.0, 0.0, 0.0
0,NUMBER_LITERAL, line no: 49,int i=1,VARIABLE_DECLARATION_EXPRESSION, line no: 45, 1.9693877551020407, 0.9693877551020408, 1.0, 0.0, 0.0
0,NUMBER_LITERAL, line no: 49,i++,POSTFIX_EXPRESSION, line no: 45, 1.9693877551020407, 0.9693877551020408, 1.0, 0.0, 0.0
length,SIMPLE_NAME, line no: 49,8,NUMBER_LITERAL, line no: 35, 1.9595959595959596, 0.23232323232323232, 1.0, 0.0, 0.0
length,SIMPLE_NAME, line no: 49,this.size=bits,ASSIGNMENT, line no: 40, 1.9595959595959596, 0.9595959595959596, 1.0, 0.0, 0.0
length,SIMPLE_NAME, line no: 49,this.size,FIELD_ACCESS, line no: 40, 1.9595959595959596, 0.9595959595959596, 1.0, 0.0, 0.0
length,SIMPLE_NAME, line no: 49,containerCount(bits 8),METHOD_INVOCATION, line no: 41, 1.9595959595959596, 0.9595959595959596, 1.0, 0.0, 0.0
length,SIMPLE_NAME, line no: 49,int i=1,VARIABLE_DECLARATION_EXPRESSION, line no: 45, 1.9595959595959596, 0.9595959595959596, 1.0, 0.0, 0.0
length,SIMPLE_NAME, line no: 49,1,NUMBER_LITERAL, line no: 45, 1.9595959595959596, 0.9595959595959596, 1.0, 0.0, 0.0
length,SIMPLE_NAME, line no: 49,i++,POSTFIX_EXPRESSION, line no: 45, 1.9595959595959596, 0.9595959595959596, 1.0, 0.0, 0.0
countCache1.length > 0,INFIX_EXPRESSION, line no: 49,this.countCache1,FIELD_ACCESS, line no: 42, 1.9079528718703977, 0.979381443298969, 0.5, 0.0, 0.42857142857142855
