countCache1.length > 0,INFIX_EXPRESSION, line no: 49,countCache1.length,QUALIFIED_NAME, line no: 49, 2.8181818181818183, 1.0, 1.0, 0.8181818181818182
countCache1.length,QUALIFIED_NAME, line no: 49,countCache1.length > 0,INFIX_EXPRESSION, line no: 49, 2.8079777365491654, 0.9897959183673469, 1.0, 0.8181818181818182
countCache1,SIMPLE_NAME, line no: 49,this.countCache1,FIELD_ACCESS, line no: 42, 2.6470959595959593, 0.9595959595959596, 1.0, 0.6875
length,SIMPLE_NAME, line no: 49,vector.length,QUALIFIED_NAME, line no: 36, 2.4312354312354314, 0.23232323232323232, 1.0, 0.46153846153846156
countCache1.length,QUALIFIED_NAME, line no: 49,containerCount,SIMPLE_NAME, line no: 35, 2.4138321995464853, 0.23469387755102042, 1.0, 0.4444444444444444
countCache1.length,QUALIFIED_NAME, line no: 49,length,SIMPLE_NAME, line no: 36, 2.3333333333333335, 0.24489795918367346, 1.0, 0.3333333333333333
length,SIMPLE_NAME, line no: 49,countCache1.length,QUALIFIED_NAME, line no: 49, 2.3232323232323235, 0.98989898989899, 1.0, 0.3333333333333333
length,SIMPLE_NAME, line no: 49,int i=1,VARIABLE_DECLARATION_EXPRESSION, line no: 45, 2.2453102453102454, 0.9595959595959596, 1.0, 0.2857142857142857
0,NUMBER_LITERAL, line no: 49,0xff,NUMBER_LITERAL, line no: 43, 2.239795918367347, 0.9897959183673469, 1.0, 0.25
countCache1.length,QUALIFIED_NAME, line no: 49,countCacheSize0,SIMPLE_NAME, line no: 103, 2.1927437641723357, 0.5612244897959183, 1.0, 0.6111111111111112
length,SIMPLE_NAME, line no: 49,containerCount,SIMPLE_NAME, line no: 35, 2.183982683982684, 0.23232323232323232, 1.0, 0.21428571428571427
length,SIMPLE_NAME, line no: 49,this.size,FIELD_ACCESS, line no: 40, 2.1818181818181817, 0.9595959595959596, 1.0, 0.2222222222222222
length,SIMPLE_NAME, line no: 49,containerCount(vector.length 8),METHOD_INVOCATION, line no: 42, 2.153144346692734, 0.9595959595959596, 1.0, 0.1935483870967742
countCache1,SIMPLE_NAME, line no: 49,this.countCache1=new int[containerCount(vector.length 8)],ASSIGNMENT, line no: 42, 2.1525784157363104, 0.9595959595959596, 1.0, 0.19298245614035087
length,SIMPLE_NAME, line no: 49,n,SIMPLE_NAME, line no: 44, 2.146464646464646, 0.9696969696969697, 1.0, 0.16666666666666666
length,SIMPLE_NAME, line no: 49,bits,SIMPLE_NAME, line no: 39, 2.1363636363636362, 0.010101010101010102, 1.0, 0.16666666666666666
length,SIMPLE_NAME, line no: 49,size,SIMPLE_NAME, line no: 40, 2.1363636363636362, 0.9696969696969697, 1.0, 0.16666666666666666
countCache1,SIMPLE_NAME, line no: 49,new int[containerCount(vector.length 8)],ARRAY_CREATION, line no: 42, 2.1345959595959596, 0.9595959595959596, 1.0, 0.175
length,SIMPLE_NAME, line no: 49,this.size=bits,ASSIGNMENT, line no: 40, 2.1024531024531026, 0.9595959595959596, 1.0, 0.14285714285714285
length,SIMPLE_NAME, line no: 49,containerCount(bits 8),METHOD_INVOCATION, line no: 41, 2.095959595959596, 0.9595959595959596, 1.0, 0.13636363636363635
countCache1.length,QUALIFIED_NAME, line no: 49,this.countCache1,FIELD_ACCESS, line no: 42, 2.080498866213152, 0.9693877551020408, 0.5, 0.6111111111111112
0,NUMBER_LITERAL, line no: 49,bytes[0] & 0xff,INFIX_EXPRESSION, line no: 43, 2.0462585034013605, 0.9795918367346939, 1.0, 0.06666666666666667
length,SIMPLE_NAME, line no: 49,bytes[0] & 0xff,INFIX_EXPRESSION, line no: 43, 2.0363636363636366, 0.9696969696969697, 1.0, 0.06666666666666667
countCache1.length,QUALIFIED_NAME, line no: 49,n,SIMPLE_NAME, line no: 44, 2.0351473922902494, 0.9693877551020408, 1.0, 0.05555555555555555
countCache1.length,QUALIFIED_NAME, line no: 49,bits,SIMPLE_NAME, line no: 39, 2.024943310657596, 0.01020408163265306, 1.0, 0.05555555555555555
countCache1.length,QUALIFIED_NAME, line no: 49,size,SIMPLE_NAME, line no: 40, 2.024943310657596, 0.9693877551020408, 1.0, 0.05555555555555555
countCache1.length,QUALIFIED_NAME, line no: 49,sum,SIMPLE_NAME, line no: 43, 2.024943310657596, 0.9693877551020408, 1.0, 0.05555555555555555
countCache1.length,QUALIFIED_NAME, line no: 49,1,NUMBER_LITERAL, line no: 45, 2.024943310657596, 0.9693877551020408, 1.0, 0.05555555555555555
length,SIMPLE_NAME, line no: 49,ret,SIMPLE_NAME, line no: 146, 1.9999999999999998, 0.6464646464646465, 1.0, 0.3333333333333333
countCache1.length,QUALIFIED_NAME, line no: 49,0,NUMBER_LITERAL, line no: 43, 1.989795918367347, 0.9795918367346939, 1.0, 0.0
0,NUMBER_LITERAL, line no: 49,length,SIMPLE_NAME, line no: 36, 1.989795918367347, 0.24489795918367346, 1.0, 0.0
0,NUMBER_LITERAL, line no: 49,countCache1.length,QUALIFIED_NAME, line no: 49, 1.989795918367347, 0.9897959183673469, 1.0, 0.0
length,SIMPLE_NAME, line no: 49,0,NUMBER_LITERAL, line no: 43, 1.9797979797979797, 0.9696969696969697, 1.0, 0.0
length,SIMPLE_NAME, line no: 49,i,SIMPLE_NAME, line no: 45, 1.9797979797979797, 0.9696969696969697, 1.0, 0.0
countCache1.length,QUALIFIED_NAME, line no: 49,0xff,NUMBER_LITERAL, line no: 43, 1.9795918367346939, 0.9795918367346939, 1.0, 0.0
countCache1.length,QUALIFIED_NAME, line no: 49,i,SIMPLE_NAME, line no: 45, 1.9795918367346939, 0.9693877551020408, 1.0, 0.0
0,NUMBER_LITERAL, line no: 49,8,NUMBER_LITERAL, line no: 35, 1.9795918367346939, 0.23469387755102042, 1.0, 0.0
