-1 != semicolonIndex && 10 > (semicolonIndex - index),INFIX_EXPRESSION, line no: 74,10 > (semicolonIndex - index),INFIX_EXPRESSION, line no: 74, 1.0, 1.0, 1.0, 0.7894736842105263
-1 != semicolonIndex && 10 > (semicolonIndex - index),INFIX_EXPRESSION, line no: 74,(semicolonIndex - index),PARENTHESIZED_EXPRESSION, line no: 74, 1.0, 1.0, 1.0, 0.7192982456140351
-1 != semicolonIndex && 10 > (semicolonIndex - index),INFIX_EXPRESSION, line no: 74,semicolonIndex - index,INFIX_EXPRESSION, line no: 74, 1.0, 1.0, 1.0, 0.7280701754385965
-1,PREFIX_EXPRESSION, line no: 74,1,NUMBER_LITERAL, line no: 43, 1.0, 0.5616438356164384, 1.0, 0.75
semicolonIndex,SIMPLE_NAME, line no: 74,index,SIMPLE_NAME, line no: 40, 1.0, 0.6301369863013698, 1.0, 0.8428571428571429
10 > (semicolonIndex - index),INFIX_EXPRESSION, line no: 74,(semicolonIndex - index),PARENTHESIZED_EXPRESSION, line no: 74, 1.0, 1.0, 1.0, 0.8817204301075269
10 > (semicolonIndex - index),INFIX_EXPRESSION, line no: 74,semicolonIndex - index,INFIX_EXPRESSION, line no: 74, 1.0, 1.0, 1.0, 0.9222222222222223
10,NUMBER_LITERAL, line no: 74,1,NUMBER_LITERAL, line no: 43, 1.0, 0.5616438356164384, 1.0, 0.9508196721311475
(semicolonIndex - index),PARENTHESIZED_EXPRESSION, line no: 74,index,SIMPLE_NAME, line no: 40, 1.0, 0.6301369863013698, 1.0, 0.5698924731182796
(semicolonIndex - index),PARENTHESIZED_EXPRESSION, line no: 74,semicolonIndex,SIMPLE_NAME, line no: 65, 1.0, 0.958904109589041, 1.0, 0.6451612903225806
(semicolonIndex - index),PARENTHESIZED_EXPRESSION, line no: 74,semicolonIndex - index,INFIX_EXPRESSION, line no: 74, 1.0, 1.0, 1.0, 0.8602150537634409
semicolonIndex - index,INFIX_EXPRESSION, line no: 74,index,SIMPLE_NAME, line no: 40, 1.0, 0.6216216216216216, 1.0, 0.6265060240963856
semicolonIndex - index,INFIX_EXPRESSION, line no: 74,semicolonIndex,SIMPLE_NAME, line no: 65, 1.0, 0.9459459459459459, 1.0, 0.7108433734939759
semicolonIndex,SIMPLE_NAME, line no: 74,index,SIMPLE_NAME, line no: 40, 1.0, 0.6133333333333333, 1.0, 0.8428571428571429
index,SIMPLE_NAME, line no: 74,semicolonIndex,SIMPLE_NAME, line no: 65, 1.0, 0.9466666666666667, 1.0, 0.8142857142857143
semicolonIndex,SIMPLE_NAME, line no: 74,semicolonIndex - index,INFIX_EXPRESSION, line no: 74, 0.9866666666666667, 0.9866666666666667, 1.0, 0.7590361445783133
index,SIMPLE_NAME, line no: 74,semicolonIndex - index,INFIX_EXPRESSION, line no: 74, 0.9866666666666667, 0.9866666666666667, 1.0, 0.6506024096385542
1,NUMBER_LITERAL, line no: 74,-1,PREFIX_EXPRESSION, line no: 70, 0.9864864864864865, 0.972972972972973, 1.0, 0.75
1,NUMBER_LITERAL, line no: 74,10,NUMBER_LITERAL, line no: 74, 0.9864864864864865, 0.9864864864864865, 1.0, 0.9836065573770492
semicolonIndex - index,INFIX_EXPRESSION, line no: 74,(semicolonIndex - index),PARENTHESIZED_EXPRESSION, line no: 74, 0.9864864864864865, 0.9864864864864865, 1.0, 0.8602150537634409
-1,PREFIX_EXPRESSION, line no: 74,index,SIMPLE_NAME, line no: 40, 0.9863013698630136, 0.6301369863013698, 1.0, 0.734375
-1,PREFIX_EXPRESSION, line no: 74,semicolonIndex,SIMPLE_NAME, line no: 65, 0.9863013698630136, 0.958904109589041, 1.0, 0.6428571428571429
-1,PREFIX_EXPRESSION, line no: 74,10,NUMBER_LITERAL, line no: 74, 0.9863013698630136, 0.9863013698630136, 1.0, 0.78125
semicolonIndex,SIMPLE_NAME, line no: 74,original.length(),METHOD_INVOCATION, line no: 42, 0.9863013698630136, 0.6301369863013698, 1.0, 0.6455696202531646
semicolonIndex,SIMPLE_NAME, line no: 74,length,SIMPLE_NAME, line no: 42, 0.9863013698630136, 0.6438356164383562, 1.0, 0.8
semicolonIndex,SIMPLE_NAME, line no: 74,1,NUMBER_LITERAL, line no: 43, 0.9863013698630136, 0.5616438356164384, 1.0, 0.6714285714285714
semicolonIndex,SIMPLE_NAME, line no: 74,-1,PREFIX_EXPRESSION, line no: 70, 0.9863013698630136, 0.9726027397260274, 1.0, 0.6714285714285714
semicolonIndex,SIMPLE_NAME, line no: 74,10,NUMBER_LITERAL, line no: 74, 0.9863013698630136, 0.9863013698630136, 1.0, 0.7
semicolonIndex,SIMPLE_NAME, line no: 74,(semicolonIndex - index),PARENTHESIZED_EXPRESSION, line no: 74, 0.9863013698630136, 0.9863013698630136, 1.0, 0.6881720430107527
semicolonIndex,SIMPLE_NAME, line no: 74,semicolonIndex - index,INFIX_EXPRESSION, line no: 74, 0.9863013698630136, 0.9863013698630136, 1.0, 0.7590361445783133
10,NUMBER_LITERAL, line no: 74,index,SIMPLE_NAME, line no: 40, 0.9863013698630136, 0.6301369863013698, 1.0, 0.7704918032786885
10,NUMBER_LITERAL, line no: 74,original.length(),METHOD_INVOCATION, line no: 42, 0.9863013698630136, 0.6301369863013698, 1.0, 0.6075949367088608
10,NUMBER_LITERAL, line no: 74,length,SIMPLE_NAME, line no: 42, 0.9863013698630136, 0.6438356164383562, 1.0, 0.7580645161290323
10,NUMBER_LITERAL, line no: 74,semicolonIndex,SIMPLE_NAME, line no: 65, 0.9863013698630136, 0.9726027397260274, 1.0, 0.6428571428571429
10,NUMBER_LITERAL, line no: 74,-1,PREFIX_EXPRESSION, line no: 70, 0.9863013698630136, 0.9726027397260274, 1.0, 0.75
10,NUMBER_LITERAL, line no: 74,(semicolonIndex - index),PARENTHESIZED_EXPRESSION, line no: 74, 0.9863013698630136, 0.9863013698630136, 1.0, 0.5376344086021505
10,NUMBER_LITERAL, line no: 74,semicolonIndex - index,INFIX_EXPRESSION, line no: 74, 0.9863013698630136, 0.9863013698630136, 1.0, 0.5903614457831325
(semicolonIndex - index),PARENTHESIZED_EXPRESSION, line no: 74,1,NUMBER_LITERAL, line no: 43, 0.9863013698630136, 0.5616438356164384, 1.0, 0.5161290322580645
(semicolonIndex - index),PARENTHESIZED_EXPRESSION, line no: 74,10 > (semicolonIndex - index),INFIX_EXPRESSION, line no: 74, 0.9863013698630136, 0.9863013698630136, 1.0, 0.8817204301075269
(semicolonIndex - index),PARENTHESIZED_EXPRESSION, line no: 74,10,NUMBER_LITERAL, line no: 74, 0.9863013698630136, 0.9863013698630136, 1.0, 0.5376344086021505
10 > (semicolonIndex - index),INFIX_EXPRESSION, line no: 74,-1 != semicolonIndex && 10 > (semicolonIndex - index),INFIX_EXPRESSION, line no: 74, 0.9861111111111112, 0.9861111111111112, 1.0, 0.7894736842105263
semicolonIndex,SIMPLE_NAME, line no: 74,(semicolonIndex - index),PARENTHESIZED_EXPRESSION, line no: 74, 0.9733333333333334, 0.9733333333333334, 1.0, 0.6881720430107527
index,SIMPLE_NAME, line no: 74,(semicolonIndex - index),PARENTHESIZED_EXPRESSION, line no: 74, 0.9733333333333334, 0.9733333333333334, 1.0, 0.5913978494623656
1,NUMBER_LITERAL, line no: 74,index,SIMPLE_NAME, line no: 40, 0.972972972972973, 0.6216216216216216, 1.0, 0.7704918032786885
